Date,us_Trade Weighted Dollar Index,kr_fx,jp_fx,uk_fx,cn_fx
2011-M01,90.1112,1120.07,82.6111,0.64382449,6.603384211
2011-M02,89.3967,1118.14,82.4978,0.620199609,6.584035714
2011-M03,88.4872,1122.45,81.7936,0.618555868,6.566243478
2011-M04,86.9214,1086.84,83.347,0.611931417,6.529183333
2011-M05,86.9464,1083.54,81.2572,0.612771123,6.49951
2011-M06,86.9413,1081.27,80.5118,0.610928002,6.477838095
2011-M07,86.3178,1059.5,79.39736842,0.620222638,6.461215
2011-M08,86.8982,1073.17,77.22086957,0.610779915,6.409026087
2011-M09,89.7253,1118.61,76.8375,0.633647969,6.3828
2011-M10,90.6098,1155.45,76.772,0.634544234,6.3565
2011-M11,91.2649,1132.31,77.5794,0.631473631,6.3392
2011-M12,92.2056,1147.45,77.8586,0.640811131,6.3286
2012-M01,91.6463,1145.85,76.9783,0.64432658,6.3158
2012-M02,89.9605,1123.35,78.392,0.632949895,6.30036
2012-M03,90.5112,1125.9,82.4347619,0.632253224,6.308136364
2012-M04,90.8156,1135.55,81.4895,0.625046816,6.296582353
2012-M05,92.4928,1154.27,79.7155,0.62824543,6.305366667
2012-M06,93.8809,1165.51,79.32142857,0.642536407,6.31779
2012-M07,93.4062,1143.36,78.983,0.64148231,6.32402381
2012-M08,92.5283,1131.69,78.66478261,0.636433864,6.34036087
2012-M09,90.9802,1124.78,78.16777778,0.620439485,6.339410526
2012-M10,90.7566,1106.93,78.96863636,0.621769866,6.314353333
2012-M11,91.4751,1087.52,80.792,0.626334663,6.29576
2012-M12,90.8804,1076.97,83.57777778,0.644745326,6.29005
2013-M01,90.8255,1065.35,89.16,0.62636387,6.278726316
2013-M02,91.5509,1086.68,93.16611111,0.646060869,6.2842
2013-M03,92.4132,1102.2,94.78842105,0.663440059,6.274578947
2013-M04,92.0478,1121.83,97.6995,0.653752868,6.247066667
2013-M05,92.529,1110.67,101.082,0.65340366,6.197804762
2013-M06,93.2836,1135.21,97.33111111,0.645100322,6.17078
2013-M07,93.8724,1127.23,99.75052632,0.658342308,6.17175
2013-M08,93.7149,1116.98,97.87,0.64549,6.170763636
2013-M09,93.4706,1087.35,99.27888889,0.6302,6.158166667
2013-M10,92.4993,1066.8,97.82142857,0.621152059,6.140442105
2013-M11,93.3737,1062.82,99.78833333,0.621939404,6.137621053
2013-M12,93.534,1056.67,103.4115789,0.610681513,6.1172
2014-M01,94.4647,1064.75,103.935,0.607025743,6.103915789
2014-M02,94.6456,1071.3,102.1561111,0.612956557,6.113266667
2014-M03,94.4408,1070.89,102.2725,0.601568574,6.136905263
2014-M04,93.9956,1044.55,102.5638095,0.597447382,6.15511
2014-M05,93.67,1024.99,101.79,0.593458803,6.162883333
2014-M06,93.8274,1019.36,102.052381,0.59157923,6.156361905
2014-M07,93.6039,1019.93,102.78,0.592311793,6.1675
2014-M08,94.5808,1025.36,102.9571429,0.59873605,6.160614286
2014-M09,96.1209,1033.24,107.2442105,0.613635534,6.152075
2014-M10,97.4396,1060.28,108.0613636,0.622456631,6.144041176
2014-M11,99.1147,1095.1,116.2122222,0.62496094,6.144316667
2014-M12,101.4441,1104.33,119.3126316,0.636618284,6.124219048
2015-M01,103.7607,1088.86,118.3077778,0.655565753,6.127384211
2015-M02,105.1685,1098.4,118.5633333,0.652512838,6.13435
2015-M03,107.3647,1112.57,120.3868182,0.667745389,6.150547619
2015-M04,106.3523,1088.66,119.5495238,0.669210463,6.129778947
2015-M05,105.4065,1091.27,120.6894118,0.646304069,6.114152632
2015-M06,106.179,1112.2,123.7504545,0.643011856,6.116138095
2015-M07,108.1236,1143.22,123.2433333,0.642806957,6.1167
2015-M08,109.9767,1179.1,123.2338095,0.640859202,6.30557619
2015-M09,110.8513,1184.76,120.285,0.651214731,6.369315
2015-M10,109.9036,1148.18,120.0619048,0.660763843,6.34906875
2015-M11,111.6916,1151.97,122.5329412,0.657396984,6.364152632
2015-M12,112.7857,1172.24,121.924,0.667153662,6.4527
2016-M01,115.2344,1201.67,118.3061111,0.694408181,6.574036842
2016-M02,114.2817,1217.35,115.0931579,0.699705524,6.543913333
2016-M03,111.8934,1188.21,113.0704545,0.702962077,6.507091304
2016-M04,110.0171,1147.51,109.9652381,0.698810892,6.478735
2016-M05,111.1405,1171.51,109.0622222,0.68853024,6.52882
2016-M06,111.5596,1170.5,105.4918182,0.704277439,6.595765
2016-M07,112.4773,1144.09,103.9710526,0.760458908,6.678905
2016-M08,111.4384,1111.68,101.2690909,0.762492929,6.64916087
2016-M09,112.3169,1107.49,101.9442105,0.761105908,6.672636842
2016-M10,113.4747,1125.28,103.8175,0.810370715,6.749093333
2016-M11,116.1075,1161.64,107.6244444,0.804372221,6.833605
2016-M12,117.9048,1182.28,115.8995,0.800118531,6.921971429
2017-M01,117.7858,1185.1,114.75,0.813702754,6.89796875
2017-M02,116.1204,1144.92,113.0715789,0.800973002,6.873064706
2017-M03,115.6558,1134.77,113.0145455,0.810867846,6.897234783
2017-M04,114.7698,1132.73,110.062,0.7915,6.891577778
2017-M05,114.2591,1125.28,112.2573684,0.773408985,6.889865
2017-M06,112.7603,1130.04,110.9059091,0.781178429,6.807995455
2017-M07,111.0606,1134.4,112.3936842,0.769826717,6.77148
2017-M08,109.9059,1130.79,109.9145455,0.771475531,6.670969565
2017-M09,108.8542,1131.59,110.7231579,0.750298713,6.568445
2017-M10,110.8892,1131.57,112.9566667,0.757316216,6.617525
2017-M11,111.1635,1105.04,112.9947368,0.757144128,6.625385
2017-M12,110.8758,1085.78,112.9495,0.746027868,6.59355
2018-M01,108.3567,1066.7,110.7744444,0.723511637,6.429014286
2018-M02,107.6501,1079.58,107.9005556,0.716643566,6.313473333
2018-M03,107.9473,1071.89,106.0004762,0.715826933,6.319477273
2018-M04,107.9428,1067.76,107.5214286,0.71050842,6.299573684
2018-M05,111.046,1076.39,109.7015,0.741647198,6.374280952
2018-M06,112.8435,1092.8,110.0252381,0.752347054,6.465695
2018-M07,113.0594,1122.8,111.4185,0.759434619,6.718966667
2018-M08,113.8309,1121.15,111.0582609,0.776455059,6.851795652
2018-M09,114.0783,1120.6,111.9464706,0.765587256,6.856544444
2018-M10,114.8301,1130.81,112.775,0.768502573,6.936347059
2018-M11,116.1678,1128.58,113.3835,0.775073632,6.94079
2018-M12,116.2111,1122.9,112.5727778,0.788840536,6.885527778
2019-M01,114.4403,1122,108.9211111,0.775757934,6.787638095
2019-M02,114.4106,1122.45,110.3477778,0.768655056,6.735614286
2019-M03,114.7823,1130.72,111.206,0.759293206,6.711614286
2019-M04,114.9024,1140.95,111.6638095,0.766683023,6.716666667
2019-M05,115.957,1183.29,109.8533333,0.77873389,6.870263158
2019-M06,115.4279,1175.62,108.057,0.788834832,6.901373684
2019-M07,115.0785,1175.31,108.2404762,0.80191585,6.877472727
2019-M08,117.102,1208.98,106.2728571,0.823307075,7.062122727
2019-M09,117.3256,1197.55,107.4822222,0.808987855,7.115873684
2019-M10,116.7479,1184.13,108.1233333,0.791362637,7.083117647
2019-M11,116.5605,1167.45,108.7933333,0.776243675,7.018315789
2019-M12,115.9107,1175.84,109.1547368,0.761566288,7.020547368
2020-M01,115.2786,1164.28,109.2847368,0.764982733,6.921033333
2020-M02,116.7095,1193.79,109.9735294,0.771523475,6.999663158
2020-M03,121.0285,1220.09,107.2928571,0.807687719,7.018072727
2020-M04,123.2894,1225.23,107.93,0.805842357,7.0726
2020-M05,122.6238,1228.67,107.2917647,0.81276816,7.111111765
2020-M06,119.6846,1210.01,107.555,0.798597373,7.08581
2020-M07,118.7004,1198.9,106.6973684,0.788439228,7.008028571
2020-M08,116.9576,1186.85,106.0415,0.762139937,6.929295238
2020-M09,116.3534,1178.8,105.6905556,0.771840183,6.809035
2020-M10,115.7882,1144.68,105.222381,0.771025593,6.702206667
2020-M11,114.1033,1116.76,104.4264706,0.757491189,6.608168421
2020-M12,111.9051,1095.13,103.8888235,0.747656975,6.544182353
2021-M01,111.4953,1097.49,103.6961111,0.732970963,6.468547368
2021-M02,112.0275,1111.72,105.3741176,0.721763839,6.4596
2021-M03,113.3497,1131.02,108.6495652,0.721653528,6.509413043
2021-M04,112.6426,1119.4,109.1342857,0.722503578,6.519138095
2021-M05,111.2252,1123.28,109.11,0.710267909,6.43089375
2021-M06,111.5888,1121.3,110.1059091,0.712746829,6.424490476
2021-M07,113.0721,1143.98,110.1661111,0.724358173,6.47471
2021-M08,113.4124,1160.34,109.8357143,0.724518928,6.476127273
2021-M09,113.4532,1169.54,110.2188235,0.728575099,6.456194118
2021-M10,114.0758,1182.82,113.127,0.729977626,6.411353333
2021-M11,115.0036,1182.91,114.0177778,0.742018662,6.39007
2021-M12,115.8172,1183.62,113.6164706,0.753424202,6.367164706
2022-M01,115.0507,1194.01,114.8538889,0.738166511,6.35595
2022-M02,115.0057,1198.34,115.21,0.738849689,6.341373333
2022-M03,116.2984,1221.03,118.5095455,0.758965695,6.344891304
2022-M04,117.1702,1232.34,126.2247619,0.772777097,6.433521053
2022-M05,119.6926,1269.88,128.8783333,0.803845597,6.71745
2022-M06,120.0269,1277.35,133.7957143,0.812837702,6.69609
2022-M07,122.7609,1307.4,136.7163158,0.834452891,6.735365
2022-M08,122.3262,1318.44,135.2422727,0.833210245,6.802173913
2022-M09,125.5999,1391.59,143.29,0.883466369,7.03022
2022-M10,127.4828,1426.66,147.0145,0.885357297,7.225113333
2022-M11,124.8627,1364.1,142.82,0.854509138,7.18082
2022-M12,122.2476,1296.22,135.4223529,0.81918236,6.982929412
2023-M01,119.8133,1247.25,130.3444444,0.818310516,6.7953
2023-M02,120.3366,1270.74,132.5861111,0.826297123,6.835505263
2023-M03,120.8071,1305.73,133.8504545,0.823919456,6.89683913
2023-M04,119.3744,1320.01,133.334,0.803254071,6.888573684
2023-M05,119.7956,1328.21,137.1942105,0.801198593,6.994457895
2023-M06,119.5789,1296.71,141.1585714,0.792575455,7.162473684
2023-M07,118.4119,1286.3,140.8416667,0.775002498,7.185289474
2023-M08,120.2177,1318.47,144.7722727,0.786873519,7.252882609
2023-M09,121.9827,1329.47,147.7515789,0.807223032,7.299236842
2023-M10,123.7914,1350.69,149.5266667,0.822135006,7.3115125
2023-M11,121.5369,1310.39,149.8394737,0.806573575,7.236335
2023-M12,120.1585,1303.98,144.69375,0.791104035,7.149575
2024-M01,120.5769,1323.57,146.6511111,0.787507875,7.17142381
2024-M02,121.4155,1331.74,149.3866667,0.791698252,7.193164286
2024-M03,121.0413,1330.69,149.625,0.786500505,7.202404762
2024-M04,122.5142,1367.83,153.4333333,0.798521594,7.2395
2024-M05,122.2444,1365.39,156.103,0.792001539,7.2329
2024-M06,124.0309,1380.13,157.8210526,0.786764143,7.255727778
2024-M07,123.7208,1383.38,157.7425,0.777112915,7.262657143
2024-M08,122.8802,1354.15,146.2328571,0.774060852,7.152631818
2024-M09,122.1296,1334.82,143.2205556,0.756389601,7.075288889
2024-M10,123.831,1361,149.6263636,0.765710109,7.102838889
2024-M11,126.5329,1393.38,154.0355556,0.784250597,7.204668421
2024-M12,127.814,1434.42,152.5175,0.78845699,7.2766875
2025-M01,129.0413,1455.79,156.4088235,0.809518316,7.30909375
