run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,3.5299,3.7776,3.52988852283376,2.5248,51.72258047999999,0,"{""lr"": 7.500000000000001e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.03, ""focus_target_gain"": 108.0, ""anchor_focus_to_last"": 0.16999999999999998, ""bias_penalty"": 0.35, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_001.log
2,777,3.1902,3.4038,3.187750043893333,2.242,38.656768,0,"{""lr"": 0.0001125, ""dropout"": 0.01, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 50, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.09000000000000001, ""focus_target_gain"": 84.0, ""anchor_focus_to_last"": 0.22, ""bias_penalty"": 0.35000000000000003, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_002.log
3,777,5.1016,6.0207,5.107318508973178,4.6274,209.05256911999996,0,"{""lr"": 8.800000000000001e-05, ""dropout"": 0.01, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 48, ""seq_out_len"": 1, ""ss_prob"": 0.04, ""focus_target_gain"": 99.0, ""anchor_focus_to_last"": 0.08, ""bias_penalty"": 0.6, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_003.log
4,777,5.5348,6.6688,5.534781466134215,5.2432,275.21855487999994,0,"{""lr"": 7.500000000000001e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 72, ""seq_out_len"": 1, ""ss_prob"": 0.06, ""focus_target_gain"": 72.0, ""anchor_focus_to_last"": 0.16999999999999998, ""bias_penalty"": 0.65, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_004.log
5,777,7.3556,9.0224,7.368739944088531,7.5364,601.66749952,0,"{""lr"": 0.0001125, ""dropout"": 0.04, ""layers"": 2, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 50, ""seq_in_len"": 72, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 84.0, ""anchor_focus_to_last"": 0.18000000000000002, ""bias_penalty"": 0.25, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_005.log
6,777,5.753,6.9163,5.752990200948149,5.4534,299.88745872000004,0,"{""lr"": 6.000000000000001e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.04, ""focus_target_gain"": 121.00000000000001, ""anchor_focus_to_last"": 0.1, ""bias_penalty"": 0.5499999999999999, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_006.log
7,777,3.1906,3.3645,3.1905882034563633,2.2523,39.098963479999995,0,"{""lr"": 0.0001, ""dropout"": 0.01, ""layers"": 2, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 50, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.049999999999999996, ""focus_target_gain"": 108.0, ""anchor_focus_to_last"": 0.13, ""bias_penalty"": 0.45, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_007.log
8,777,3.139,3.5452,3.1385083613866436,2.4537,48.257024279999996,0,"{""lr"": 0.000165, ""dropout"": 0.04, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 50, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.18000000000000002, ""bias_penalty"": 0.25, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_008.log
9,777,5.3839,6.3694,5.377838058793788,4.9204,239.39963392,0,"{""lr"": 8e-05, ""dropout"": 0.02, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 48, ""seq_out_len"": 1, ""ss_prob"": 0.03, ""focus_target_gain"": 121.00000000000001, ""anchor_focus_to_last"": 0.12000000000000001, ""bias_penalty"": 0.65, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_009.log
10,777,5.1516,6.1854,5.144157548463455,4.807,227.40998800000003,0,"{""lr"": 9e-05, ""dropout"": 0.01, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 50, ""seq_in_len"": 72, ""seq_out_len"": 1, ""ss_prob"": 0.06, ""focus_target_gain"": 108.0, ""anchor_focus_to_last"": 0.16999999999999998, ""bias_penalty"": 0.65, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_005827/run_010.log
