=== CREATIVE US_TRADE APPROACHES ===

--- A: No graph, short train ---
  s=21 e=2 nograph: us=2.3516  jp=1.8414  kr=2.7461
  s=21 e=3 nograph: us=2.1617  jp=1.4747  kr=1.1993
  s=21 e=5 nograph: us=3.4312  jp=1.1321  kr=0.7810
  s=3 e=2 nograph: us=3.4290  jp=1.7856  kr=3.3888
  s=3 e=3 nograph: us=1.6217  jp=1.4005  kr=2.3278
  s=3 e=5 nograph: us=1.9433  jp=1.1088  kr=2.1703
  s=99 e=2 nograph: us=4.2885  jp=1.8288  kr=3.7678
  s=99 e=3 nograph: us=1.9465  jp=1.5847  kr=2.5928
  s=99 e=5 nograph: us=2.0715  jp=1.4286  kr=1.7841
  s=777 e=2 nograph: us=3.4291  jp=1.9283  kr=3.5827
  s=777 e=3 nograph: us=1.6933  jp=1.5373  kr=1.6201
  s=777 e=5 nograph: us=4.6387  jp=1.0090  kr=0.3865
  s=37 e=2 nograph: us=2.4390  jp=1.8475  kr=2.7899
  s=37 e=3 nograph: us=1.7322  jp=1.6734  kr=2.3498
  s=37 e=5 nograph: us=2.1108  jp=1.6705  kr=1.6652
  s=42 e=2 nograph: us=2.7836  jp=1.8671  kr=3.0703
  s=42 e=3 nograph: us=2.4411  jp=1.6264  kr=3.0112
  s=42 e=5 nograph: us=2.0149  jp=1.5077  kr=1.9821
  s=1 e=2 nograph: us=1.7747  jp=1.7433  kr=2.4210
  s=1 e=3 nograph: us=1.7187  jp=1.5021  kr=2.3281
  s=1 e=5 nograph: us=2.0855  jp=1.0392  kr=1.6750
  s=13 e=2 nograph: us=3.0210  jp=1.6050  kr=3.1032
  s=13 e=3 nograph: us=1.7141  jp=1.5894  kr=1.7397
  s=13 e=5 nograph: us=2.3232  jp=1.3482  kr=1.3335

--- B: US-only focus, short train ---
  s=21 e=2 us_only: us=3.5198  jp=1.3924  kr=0.6050
  s=21 e=3 us_only: us=2.1285  jp=1.4214  kr=1.4793
  s=21 e=5 us_only: us=2.3379  jp=1.2917  kr=1.6198
  s=3 e=2 us_only: us=3.6705  jp=1.3514  kr=0.8561
  s=3 e=3 us_only: us=2.8678  jp=1.1150  kr=1.1943
