=== US_TRADE SWEEP ===

--- Phase 1: Short training (3,5,7,10 ep) ---
  s=3 e=3: us=1.7859  jp=1.1500  kr=1.8135
  s=3 e=5: us=1.7515  jp=1.4432  kr=1.8166
  s=3 e=7: us=3.3337  jp=1.2035  kr=1.0386
  s=3 e=10: us=4.8377  jp=0.9071  kr=0.8242
  s=99 e=3: us=1.6942  jp=1.5629  kr=2.3311
  s=99 e=5: us=3.7234  jp=1.1069  kr=0.6026
  s=99 e=7: us=2.2504  jp=0.9662  kr=1.3939
  s=99 e=10: us=4.1682  jp=1.2453  kr=0.3796
  s=777 e=3: us=1.9131  jp=1.6620  kr=1.4390
  s=777 e=5: us=2.4839  jp=1.3915  kr=1.1806
  s=777 e=7: us=3.0993  jp=1.1401  kr=0.9006
  s=777 e=10: us=9.6833  jp=1.2731  kr=2.9520
  s=42 e=3: us=3.3202  jp=1.3340  kr=3.4206
  s=42 e=5: us=2.0363  jp=1.2924  kr=1.3429
  s=42 e=7: us=2.4555  jp=1.3239  kr=1.0570
  s=42 e=10: us=3.6203  jp=1.1602  kr=0.8459
  s=111 e=3: us=3.1019  jp=1.2320  kr=0.4717
  s=111 e=5: us=3.3071  jp=1.2673  kr=0.6096
  s=111 e=7: us=5.9381  jp=1.2213  kr=1.0434
  s=111 e=10: us=5.8178  jp=1.0925  kr=1.1303
  s=1 e=3: us=3.2053  jp=1.4099  kr=0.5683
  s=1 e=5: us=1.8013  jp=1.0900  kr=1.9449
  s=1 e=7: us=2.9444  jp=1.1961  kr=0.8331
  s=1 e=10: us=3.3052  jp=1.0757  kr=0.5994
  s=7 e=3: us=2.0466  jp=1.3537  kr=2.5469
  s=7 e=5: us=1.9776  jp=1.5257  kr=2.4458
  s=7 e=7: us=3.2154  jp=0.9592  kr=0.8566
  s=7 e=10: us=6.6194  jp=1.4128  kr=1.5516
  s=13 e=3: us=1.7976  jp=1.2679  kr=1.5754
  s=13 e=5: us=1.9741  jp=1.4174  kr=1.8354
  s=13 e=7: us=3.6914  jp=1.0417  kr=0.9610
  s=13 e=10: us=3.8592  jp=0.9626  kr=0.6653
  s=21 e=3: us=1.4252  jp=1.4447  kr=2.0964
  s=21 e=5: us=1.6815  jp=1.1072  kr=1.8184
  s=21 e=7: us=3.9489  jp=0.9784  kr=0.6093
  s=21 e=10: us=2.6031  jp=0.8932  kr=1.1055
  s=37 e=3: us=1.6220  jp=1.5912  kr=2.0236
  s=37 e=5: us=4.2909  jp=1.3678  kr=0.3655
  s=37 e=7: us=5.3615  jp=1.4261  kr=0.9057
  s=37 e=10: us=4.4719  jp=0.9402  kr=0.7522
  s=55 e=3: us=2.2117  jp=1.4602  kr=2.4571
  s=55 e=5: us=1.9962  jp=1.2236  kr=2.4387
  s=55 e=7: us=3.3960  jp=1.0771  kr=0.9575
  s=55 e=10: us=4.0170  jp=0.9623  kr=0.5092

--- Phase 2: Short train + val_linear debias ---
  s=3 e=5 vl: us=2.4647  jp=1.4201  kr=1.8166
  s=3 e=10 vl: us=2.4647  jp=1.4201  kr=1.8166
  s=99 e=5 vl: us=2.7701  jp=1.7879  kr=2.3311
  s=99 e=10 vl: us=2.7701  jp=1.7879  kr=2.3311
  s=777 e=5 vl: us=2.3757  jp=1.7586  kr=1.1806
  s=777 e=10 vl: us=2.3757  jp=1.7586  kr=1.1806
  s=42 e=5 vl: us=3.6010  jp=1.7825  kr=3.4206
  s=42 e=10 vl: us=3.6010  jp=1.7825  kr=3.4206
  s=111 e=5 vl: us=2.9315  jp=1.3092  kr=0.6096
  s=111 e=10 vl: us=2.9315  jp=1.3092  kr=0.6096
  s=1 e=5 vl: us=2.6419  jp=1.1774  kr=0.5683
  s=1 e=10 vl: us=2.6419  jp=1.1774  kr=0.5683
  s=7 e=5 vl: us=2.0860  jp=2.2849  kr=2.5469
  s=7 e=10 vl: us=2.0860  jp=2.2849  kr=2.5469
  s=13 e=5 vl: us=2.3231  jp=1.5513  kr=1.8354
  s=13 e=10 vl: us=2.3231  jp=1.5513  kr=1.8354
  s=21 e=5 vl: us=4.5493  jp=1.4747  kr=0.4341
  s=21 e=10 vl: us=4.5493  jp=1.4747  kr=0.4341
  s=37 e=5 vl: us=1.5910  jp=1.5661  kr=2.0236
  s=37 e=10 vl: us=3.1909  jp=2.1522  kr=0.9142
  s=55 e=5 vl: us=3.0844  jp=1.5981  kr=2.4571
  s=55 e=10 vl: us=3.0844  jp=1.5981  kr=2.4571

--- Phase 3: US gain boosted (250ep, val_linear) ---
  s=777 250ep usg3: us=2.5854  jp=2.2743  kr=1.6994
  s=3 250ep usg3: us=6.4650  jp=1.1297  kr=1.0950
  s=99 250ep usg3: us=2.9064  jp=2.5829  kr=1.3140
  s=42 250ep usg3: us=1.8822  jp=2.6081  kr=2.0361
  s=111 250ep usg3: us=2.8410  jp=2.3647  kr=2.1974
  s=1 250ep usg3: us=1.7401  jp=1.7829  kr=1.3697

=== DONE ===
