=== US_TRADE MICRO-TUNE ===

--- LR sweep (3ep, seed=777) ---
  lr=0.00003: us=1.3565  jp=1.1250  kr=2.5250
  lr=0.00005: us=1.1417  jp=1.3396  kr=2.3091
  lr=0.00007: us=1.1692  jp=1.5646  kr=2.2018
  lr=0.0001: us=1.3232  jp=1.6862  kr=2.1754
  lr=0.00012: us=1.5067  jp=1.8335  kr=2.1928
  lr=0.00015: us=1.5159  jp=1.8448  kr=1.9457
  lr=0.0002: us=1.9480  jp=2.0190  kr=2.2509

--- Epoch sweep (lr=0.0001) ---
  s=777 e=1: us=1.4150  jp=1.1236  kr=2.5471
  s=777 e=2: us=1.2211  jp=1.4141  kr=2.3074
  s=777 e=3: us=1.3232  jp=1.6862  kr=2.1754
  s=777 e=4: us=1.6754  jp=1.8390  kr=2.3542
  s=99 e=1: us=1.4249  jp=1.2782  kr=2.4370
  s=99 e=2: us=1.5047  jp=1.5864  kr=2.3011
  s=99 e=3: us=1.4151  jp=1.8333  kr=2.2154
  s=99 e=4: us=1.9153  jp=1.8608  kr=2.4919
  s=21 e=1: us=1.9049  jp=1.2070  kr=2.5644
  s=21 e=2: us=1.4846  jp=1.6196  kr=2.2614
  s=21 e=3: us=1.7615  jp=1.7176  kr=2.3595
  s=21 e=4: us=2.1636  jp=1.6520  kr=2.5998
  s=3 e=1: us=1.6387  jp=1.1651  kr=2.4342
  s=3 e=2: us=1.3484  jp=1.6840  kr=2.0678
  s=3 e=3: us=1.5395  jp=1.8404  kr=2.1586
  s=3 e=4: us=1.6889  jp=1.7453  kr=2.1631
  s=37 e=1: us=1.3772  jp=1.2461  kr=2.3898
  s=37 e=2: us=1.2479  jp=1.6631  kr=2.0962
  s=37 e=3: us=1.5631  jp=1.8927  kr=2.1181
  s=37 e=4: us=1.6587  jp=1.9095  kr=2.1414
  s=13 e=1: us=1.3136  jp=1.2522  kr=2.3748
  s=13 e=2: us=1.3638  jp=1.6637  kr=2.2922
  s=13 e=3: us=1.5121  jp=1.9665  kr=2.2279
  s=13 e=4: us=1.8100  jp=1.7853  kr=2.4824
  s=1 e=1: us=1.6748  jp=1.1522  kr=2.6147
  s=1 e=2: us=1.4384  jp=1.5136  kr=2.2334
  s=1 e=3: us=1.4616  jp=1.7613  kr=2.0862
  s=1 e=4: us=1.7150  jp=1.8839  kr=2.1764
  s=42 e=1: us=1.6378  jp=1.1589  kr=2.5308
  s=42 e=2: us=1.6257  jp=1.5785  kr=2.4141
  s=42 e=3: us=1.8737  jp=1.8028  kr=2.5055
  s=42 e=4: us=1.7614  jp=1.8892  kr=2.4157
  s=7 e=1: us=1.8603  jp=1.1716  kr=2.5693
  s=7 e=2: us=1.4340  jp=1.6486  kr=2.2939
  s=7 e=3: us=1.6799  jp=1.7678  kr=2.3970
  s=7 e=4: us=1.7079  jp=2.0018  kr=2.2484
  s=55 e=1: us=1.6092  jp=1.2155  kr=2.4164
  s=55 e=2: us=1.2919  jp=1.6263  kr=2.0428
  s=55 e=3: us=1.5534  jp=1.9847  kr=2.0192
  s=55 e=4: us=1.5882  jp=1.9334  kr=1.9954
  s=111 e=1: us=1.4073  jp=1.3219  kr=2.4095
  s=111 e=2: us=1.1772  jp=1.7595  kr=2.1681
  s=111 e=3: us=1.5115  jp=1.8475  kr=2.3045
  s=111 e=4: us=1.9715  jp=1.9252  kr=2.5340

--- More seeds (lr=0.0001, 3ep) ---
  s=2: us=1.7988  jp=1.8258  kr=2.4205
  s=4: us=1.5007  jp=1.7630  kr=2.2270
  s=5: us=1.8806  jp=1.8417  kr=2.4445
  s=6: us=1.6230  jp=1.8020  kr=2.3934
  s=8: us=1.6875  jp=1.9010  kr=2.2737
  s=9: us=1.6161  jp=1.8607  kr=2.1047
  s=10: us=1.5061  jp=1.7543  kr=2.0050
  s=11: us=1.4020  jp=1.7773  kr=2.1470
  s=12: us=1.7654  jp=1.7353  kr=2.3978
  s=14: us=1.4361  jp=1.8586  kr=2.3116
  s=15: us=1.4845  jp=1.9025  kr=2.2465
  s=16: us=1.8414  jp=1.8087  kr=2.3621
  s=17: us=1.6420  jp=1.7970  kr=2.1867
  s=18: us=1.8637  jp=1.8887  kr=2.4375
  s=19: us=1.5546  jp=1.7998  kr=2.3655
  s=20: us=1.4130  jp=1.7209  kr=2.2797
  s=22: us=1.4231  jp=1.7724  kr=2.0182
  s=23: us=1.5510  jp=1.7531  kr=2.1625
  s=24: us=1.5638  jp=1.9113  kr=1.8414
  s=25: us=1.3813  jp=1.8572  kr=2.1957
  s=30: us=1.6898  jp=1.6640  kr=2.0476
  s=33: us=1.7013  jp=1.8697  kr=2.3374
  s=39: us=1.5986  jp=1.7025  kr=2.1819
  s=44: us=1.9433  jp=1.6743  kr=2.5679
  s=50: us=1.8623  jp=1.7334  kr=2.5108
  s=66: us=1.5851  jp=1.8329  kr=2.3312
  s=77: us=1.5318  jp=1.7953  kr=2.1850
  s=88: us=1.1738  jp=1.8575  kr=2.1396
  s=100: us=2.0947  jp=1.6899  kr=2.5036
  s=123: us=1.4288  jp=1.7800  kr=2.0580
  s=200: us=1.5872  jp=1.7110  kr=2.3771
  s=300: us=1.8201  jp=1.7603  kr=2.3361
  s=400: us=1.8735  jp=1.8151  kr=2.5484
  s=500: us=1.6287  jp=1.9208  kr=2.3821
  s=600: us=1.6195  jp=1.6354  kr=2.2437
  s=700: us=1.6913  jp=1.9059  kr=2.0646
  s=800: us=1.2281  jp=1.8821  kr=2.0468
  s=900: us=1.3427  jp=1.7017  kr=2.1750

=== DONE ===
