=== ULTRA-FINE TUNE ===

--- LR fine-tune ---
  s=777 lr=0.00004 e=2: us=1.5121  jp=1.0692  kr=2.6114
  s=777 lr=0.00004 e=3: us=1.1902  jp=1.2266  kr=2.3900
  s=777 lr=0.000045 e=2: us=1.4286  jp=1.0993  kr=2.5586
  s=777 lr=0.000045 e=3: us=1.1611  jp=1.2675  kr=2.3385
  s=777 lr=0.00005 e=2: us=1.3049  jp=1.1437  kr=2.4940
  s=777 lr=0.00005 e=3: us=1.1417  jp=1.3396  kr=2.3091
  s=777 lr=0.000055 e=2: us=1.2487  jp=1.1715  kr=2.4605
  s=777 lr=0.000055 e=3: us=1.1380  jp=1.4057  kr=2.2730
  s=777 lr=0.00006 e=2: us=1.1919  jp=1.2011  kr=2.4175
  s=777 lr=0.00006 e=3: us=1.1421  jp=1.4738  kr=2.2583
  s=111 lr=0.00004 e=2: us=1.4413  jp=1.2295  kr=2.4565
  s=111 lr=0.00004 e=3: us=1.1662  jp=1.3809  kr=2.2735
  s=111 lr=0.000045 e=2: us=1.3507  jp=1.2695  kr=2.4010
  s=111 lr=0.000045 e=3: us=1.1797  jp=1.4423  kr=2.2435
  s=111 lr=0.00005 e=2: us=1.2235  jp=1.3189  kr=2.3390
  s=111 lr=0.00005 e=3: us=1.1927  jp=1.5333  kr=2.2632
  s=111 lr=0.000055 e=2: us=1.1948  jp=1.3600  kr=2.3132
  s=111 lr=0.000055 e=3: us=1.1608  jp=1.5738  kr=2.2373
  s=111 lr=0.00006 e=2: us=1.1338  jp=1.4015  kr=2.2599
  s=111 lr=0.00006 e=3: us=1.2017  jp=1.5930  kr=2.2328
  s=88 lr=0.00004 e=2: us=1.3627  jp=1.1087  kr=2.5022
  s=88 lr=0.00004 e=3: us=0.9698  jp=1.3038  kr=2.2153
  s=88 lr=0.000045 e=2: us=1.2528  jp=1.1391  kr=2.4443
  s=88 lr=0.000045 e=3: us=0.9565  jp=1.3575  kr=2.1725
  s=88 lr=0.00005 e=2: us=1.1980  jp=1.1801  kr=2.3971
  s=88 lr=0.00005 e=3: us=0.9543  jp=1.4161  kr=2.1424
  s=88 lr=0.000055 e=2: us=1.1066  jp=1.2214  kr=2.3511
  s=88 lr=0.000055 e=3: us=0.9285  jp=1.5074  kr=2.0868
  s=88 lr=0.00006 e=2: us=1.0477  jp=1.2614  kr=2.2925
  s=88 lr=0.00006 e=3: us=0.9756  jp=1.5798  kr=2.1025
  s=800 lr=0.00004 e=2: us=1.4405  jp=1.1589  kr=2.5982
  s=800 lr=0.00004 e=3: us=1.3079  jp=1.3163  kr=2.4684
  s=800 lr=0.000045 e=2: us=1.3337  jp=1.1799  kr=2.5359
  s=800 lr=0.000045 e=3: us=1.2722  jp=1.3552  kr=2.4365
  s=800 lr=0.00005 e=2: us=1.2338  jp=1.2048  kr=2.4576
  s=800 lr=0.00005 e=3: us=1.2187  jp=1.4188  kr=2.3820
  s=800 lr=0.000055 e=2: us=1.1721  jp=1.2448  kr=2.4009
  s=800 lr=0.000055 e=3: us=1.2009  jp=1.4812  kr=2.3575
  s=800 lr=0.00006 e=2: us=1.1201  jp=1.2816  kr=2.3577
  s=800 lr=0.00006 e=3: us=1.1808  jp=1.5656  kr=2.3261
  s=99 lr=0.00004 e=2: us=1.5841  jp=1.2300  kr=2.5184
  s=99 lr=0.00004 e=3: us=1.4096  jp=1.3829  kr=2.3919
  s=99 lr=0.000045 e=2: us=1.4723  jp=1.2636  kr=2.4721
  s=99 lr=0.000045 e=3: us=1.3643  jp=1.4473  kr=2.3330
  s=99 lr=0.00005 e=2: us=1.4171  jp=1.3019  kr=2.4189
  s=99 lr=0.00005 e=3: us=1.3384  jp=1.5051  kr=2.2932
  s=99 lr=0.000055 e=2: us=1.4011  jp=1.3417  kr=2.3932
  s=99 lr=0.000055 e=3: us=1.3582  jp=1.5593  kr=2.2874
  s=99 lr=0.00006 e=2: us=1.4037  jp=1.4023  kr=2.3543
  s=99 lr=0.00006 e=3: us=1.3718  jp=1.6225  kr=2.2873
  s=55 lr=0.00004 e=2: us=1.7450  jp=1.1512  kr=2.5667
  s=55 lr=0.00004 e=3: us=1.4589  jp=1.3265  kr=2.3758
  s=55 lr=0.000045 e=2: us=1.6667  jp=1.1823  kr=2.5127
  s=55 lr=0.000045 e=3: us=1.3925  jp=1.3903  kr=2.2962
  s=55 lr=0.00005 e=2: us=1.5942  jp=1.2127  kr=2.4611
  s=55 lr=0.00005 e=3: us=1.3261  jp=1.4636  kr=2.2138
  s=55 lr=0.000055 e=2: us=1.4950  jp=1.2584  kr=2.4089
  s=55 lr=0.000055 e=3: us=1.3291  jp=1.5683  kr=2.1641
  s=55 lr=0.00006 e=2: us=1.4744  jp=1.3025  kr=2.3898
  s=55 lr=0.00006 e=3: us=1.3334  jp=1.6525  kr=2.1691
  s=37 lr=0.00004 e=2: us=1.3831  jp=1.1836  kr=2.4714
  s=37 lr=0.00004 e=3: us=1.1820  jp=1.3440  kr=2.2789
  s=37 lr=0.000045 e=2: us=1.2816  jp=1.2184  kr=2.4065
  s=37 lr=0.000045 e=3: us=1.1657  jp=1.3879  kr=2.2350
  s=37 lr=0.00005 e=2: us=1.2185  jp=1.2432  kr=2.3711
  s=37 lr=0.00005 e=3: us=1.1533  jp=1.4407  kr=2.2024
  s=37 lr=0.000055 e=2: us=1.1872  jp=1.2848  kr=2.3313
  s=37 lr=0.000055 e=3: us=1.1793  jp=1.4934  kr=2.1957
  s=37 lr=0.00006 e=2: us=1.1548  jp=1.3276  kr=2.2811
  s=37 lr=0.00006 e=3: us=1.1676  jp=1.5805  kr=2.0710
  s=13 lr=0.00004 e=2: us=1.6043  jp=1.1596  kr=2.5681
  s=13 lr=0.00004 e=3: us=1.3983  jp=1.3488  kr=2.4002
  s=13 lr=0.000045 e=2: us=1.4911  jp=1.1995  kr=2.5056
  s=13 lr=0.000045 e=3: us=1.3167  jp=1.4306  kr=2.3206
  s=13 lr=0.00005 e=2: us=1.4513  jp=1.2340  kr=2.4702
  s=13 lr=0.00005 e=3: us=1.3180  jp=1.4933  kr=2.3027
  s=13 lr=0.000055 e=2: us=1.3625  jp=1.2813  kr=2.4106
  s=13 lr=0.000055 e=3: us=1.3342  jp=1.5670  kr=2.3007
  s=13 lr=0.00006 e=2: us=1.3500  jp=1.3334  kr=2.4002
