============================================
CONFIG 1: TRIPLE050-like seed=1, 180ep
============================================
Namespace(data='/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv', log_interval=2000, save='/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/AXIS/model/Bayesian/model.pt', optim='adam', L1Loss=True, loss_mode='l1', normalize=2, device='cuda:1', gcn_true=False, buildA_true=False, use_graph=0, gcn_depth=1, num_nodes=33, dropout=0.02, subgraph_size=40, node_dim=30, dilation_exponential=2, conv_channels=16, residual_channels=128, skip_channels=256, end_channels=1024, in_dim=1, seq_in_len=24, seq_out_len=1, horizon=1, layers=2, batch_size=4, lr=0.00015, weight_decay=1e-05, clip=10, propalpha=0.6, tanhalpha=0.1, epochs=180, num_split=1, step_size=100, ss_prob=0.05, train_ratio=0.8666666667, valid_ratio=0.0666666667, focus_targets=1, focus_nodes='us_Trade Weighted Dollar Index,jp_fx,kr_fx', focus_weight=0.7, focus_target_gain=80.0, focus_only_loss=1, focus_rrse_mode='max', focus_gain_map='kr_fx:1.0,jp_fx:1.0,us_Trade Weighted Dollar Index:1.0', anchor_focus_to_last=0.06, anchor_boost_map='kr_fx:1.8,jp_fx:1.0,us_Trade Weighted Dollar Index:1.0', rse_targets='Us_Trade Weighted Dollar Index_Testing.txt,Jp_fx_Testing.txt,Kr_fx_Testing.txt', rse_report_mode='targets', debias_mode='none', debias_apply_to='focus', debias_skip_nodes='', bias_penalty=0.5, bias_penalty_scope='focus', plot_focus_only=0, debug_eval=0, rollout_mode='direct', seed=1, plot=0, enforce_cutoff_split=1, cutoff_year_yy=25, min_valid_months=12, lag_penalty_1step=0.0, lag_sign_penalty=0.0, lag_penalty_gain_map='kr_fx:2.0,jp_fx:1.0,us_Trade Weighted Dollar Index:1.0', grad_loss_weight=0.0, smoothness_penalty=0.0, clean_cache=0, eval_last_epoch=1, autotune_mode=1, apply_best_tuning=0, eval_best_tuning=0, target_profile='none', save_pred_dir='ensemble_runs/verify_triple050_s1', ensemble_seeds='', best_tuning_checkpoint='')
| end of epoch   1 | time:  2.50s | train_loss 0.0081 | valid rse 1.3112 | valid rae 1.3059 | valid corr  0.7770 | valid smape  0.1761 | focus_rrse 1.3252 | obj 1.3210
test rse 0.7958 | test rae 0.8247 | test corr 0.7667| test smape 0.1223 | test focus_rrse 1.8717
| end of epoch   2 | time:  2.31s | train_loss 0.0030 | valid rse 2.0560 | valid rae 2.0874 | valid corr  0.8629 | valid smape  0.1520 | focus_rrse 2.0802 | obj 2.0729
| end of epoch   3 | time:  2.30s | train_loss 0.0023 | valid rse 1.0811 | valid rae 1.1979 | valid corr  0.8454 | valid smape  0.1518 | focus_rrse 1.6282 | obj 1.4641
| end of epoch   4 | time:  2.26s | train_loss 0.0017 | valid rse 2.1085 | valid rae 2.1107 | valid corr  0.8685 | valid smape  0.1489 | focus_rrse 2.1334 | obj 2.1259
| end of epoch   5 | time:  2.27s | train_loss 0.0015 | valid rse 1.1761 | valid rae 1.1485 | valid corr  0.8721 | valid smape  0.1594 | focus_rrse 1.1835 | obj 1.1813
test rse 0.3926 | test rae 0.4090 | test corr 0.9211| test smape 0.0958 | test focus_rrse 0.7878
| end of epoch   6 | time:  2.28s | train_loss 0.0014 | valid rse 0.9586 | valid rae 1.0003 | valid corr  0.8700 | valid smape  0.1445 | focus_rrse 0.9651 | obj 0.9632
test rse 0.3205 | test rae 0.3546 | test corr 0.9313| test smape 0.0904 | test focus_rrse 0.4280
| end of epoch   7 | time:  2.43s | train_loss 0.0011 | valid rse 0.8524 | valid rae 0.9577 | valid corr  0.8776 | valid smape  0.1598 | focus_rrse 1.2096 | obj 1.1024
| end of epoch   8 | time:  2.24s | train_loss 0.0010 | valid rse 1.0390 | valid rae 1.0639 | valid corr  0.8848 | valid smape  0.1473 | focus_rrse 1.0476 | obj 1.0450
| end of epoch   9 | time:  2.27s | train_loss 0.0012 | valid rse 0.9955 | valid rae 0.9501 | valid corr  0.8750 | valid smape  0.1496 | focus_rrse 0.9980 | obj 0.9973
| end of epoch  10 | time:  2.20s | train_loss 0.0010 | valid rse 1.3431 | valid rae 1.3644 | valid corr  0.8793 | valid smape  0.1528 | focus_rrse 1.3561 | obj 1.3522
| end of epoch  11 | time:  2.29s | train_loss 0.0009 | valid rse 0.6677 | valid rae 0.7030 | valid corr  0.8899 | valid smape  0.1431 | focus_rrse 0.7170 | obj 0.7022
test rse 0.3066 | test rae 0.3436 | test corr 0.9425| test smape 0.0785 | test focus_rrse 0.3952
